"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 08 20:55:23 MSK 2025","Fri Aug 08 20:55:26 MSK 2025","3040","","tests.RegistrationTest","","tests.RegistrationTest","testSuccessfulRegistration","testSuccessfulRegistration",""
"passed","Fri Aug 08 20:55:18 MSK 2025","Fri Aug 08 20:55:20 MSK 2025","2346","","tests.ProfileTest","","tests.ProfileTest","testNavigateToProfile","testNavigateToProfile",""
"passed","Fri Aug 08 20:55:27 MSK 2025","Fri Aug 08 20:55:29 MSK 2025","2340","","tests.LoginTest","","tests.LoginTest","loginViaRegisterPageLink","loginViaRegisterPageLink",""
"passed","Fri Aug 08 20:55:39 MSK 2025","Fri Aug 08 20:55:44 MSK 2025","4605","","tests.LoginTest","","tests.LoginTest","loginViaPersonalAccountButton","loginViaPersonalAccountButton",""
"passed","Fri Aug 08 20:55:26 MSK 2025","Fri Aug 08 20:55:27 MSK 2025","1234","","tests.RegistrationTest","","tests.RegistrationTest","testShortPasswordShowsError","testShortPasswordShowsError",""
"passed","Fri Aug 08 20:55:44 MSK 2025","Fri Aug 08 20:55:49 MSK 2025","5217","","tests.ConstructorTest","","tests.ConstructorTest","testTabsSwitching","testTabsSwitching",""
"passed","Fri Aug 08 20:55:49 MSK 2025","Fri Aug 08 20:55:50 MSK 2025","637","","tests.ConstructorTest","","tests.ConstructorTest","testLogoReturnsToConstructor","testLogoReturnsToConstructor",""
"passed","Fri Aug 08 20:55:54 MSK 2025","Fri Aug 08 20:55:58 MSK 2025","3452","","tests.MainNavigationTest","","tests.MainNavigationTest","testSaucesTabIsActive","testSaucesTabIsActive",""
"passed","Fri Aug 08 20:55:35 MSK 2025","Fri Aug 08 20:55:39 MSK 2025","4909","","tests.LoginTest","","tests.LoginTest","loginViaLoginButtonOnMainPage","loginViaLoginButtonOnMainPage",""
"passed","Fri Aug 08 20:55:50 MSK 2025","Fri Aug 08 20:55:50 MSK 2025","438","","tests.MainNavigationTest","","tests.MainNavigationTest","testBunsTabIsActive","testBunsTabIsActive",""
"passed","Fri Aug 08 20:55:05 MSK 2025","Fri Aug 08 20:55:16 MSK 2025","11293","","tests.ProfileTest","","tests.ProfileTest","testNavigateFromProfileToConstructor","testNavigateFromProfileToConstructor",""
"passed","Fri Aug 08 20:55:29 MSK 2025","Fri Aug 08 20:55:35 MSK 2025","5217","","tests.LoginTest","","tests.LoginTest","loginViaResetPasswordPageLink","loginViaResetPasswordPageLink",""
"passed","Fri Aug 08 20:55:20 MSK 2025","Fri Aug 08 20:55:23 MSK 2025","2272","","tests.ProfileTest","","tests.ProfileTest","testNavigateFromProfileViaLogo","testNavigateFromProfileViaLogo",""
"passed","Fri Aug 08 20:55:50 MSK 2025","Fri Aug 08 20:55:54 MSK 2025","3865","","tests.MainNavigationTest","","tests.MainNavigationTest","testFillingsTabIsActive","testFillingsTabIsActive",""
"passed","Fri Aug 08 20:55:16 MSK 2025","Fri Aug 08 20:55:18 MSK 2025","2151","","tests.ProfileTest","","tests.ProfileTest","testLogoutFromProfile","testLogoutFromProfile",""
